X,name,year,month,province,meantemp,rain,humi,number,seq,SO2,NO2,PM10,CO,O3_8h,PM2.5,beta_cases,beta_smooth_2,beta_smooth_3,beta_smooth_4,beta_smooth_5,sunlight,population,,,,
18,海南,2014,6,Hainan,29.24,147.62,81.44,1,18,4,16,29,0.6,60,13,1.338253391,63.94440277,42.87981438,32.34361448,36.03105843,236.5,9030000,,,,
19,海南,2014,7,Hainan,28.56,223.85,83.44,0,19,4,15,25,0.6,48,11,0.750637611,1.044445501,17.62324174,44.85506935,35.93814926,257.96,9030000,,,,
20,海南,2014,8,Hainan,28.33,176.57,82.89,1,20,4,15,25,0.6,43,10,50.78083423,25.76573592,17.26731359,13.28504854,16.63080296,224.94,9030000,,,,
21,海南,2014,9,Hainan,27.52,231.07,84.67,0,21,4,16,30,0.6,56,15,0.270468936,25.52565158,27.02170793,20.45394035,19.82389328,228.48,9030000,,,,
22,海南,2014,10,Hainan,26.13,128.08,81.44,0,22,5,16,54,0.7,102,30,30.01382063,15.14214478,15.86266485,24.59220719,31.32011693,200.16,9030000,,,,
23,海南,2014,11,Hainan,24.62,92.72,84.44,0,23,4,16,40,0.7,73,21,17.30370498,23.65876281,35.18309383,26.45493761,44.09954793,147.66,9030000,,,,
24,海南,2014,12,Hainan,19.94,80.1,83.22,0,24,5,15,49,0.8,80,29,58.23175589,37.76773044,63.40448337,55.05681768,44.42704192,60.76,9030000,,,,
25,海南,2015,1,Hainan,19.21,16.03,79.89,3,25,5,18,57,0.8,93,35,114.6779892,86.45487256,58.27256134,48.03034725,38.46800565,187.56,9110000,,,,
26,海南,2015,2,Hainan,21.34,4.69,82.56,4,26,3,9,51,0.7,75,34,1.907938893,58.29296406,38.93485579,43.75908082,46.28970293,120.98,9110000,,,,
27,海南,2015,3,Hainan,24.48,14.76,82.44,0,27,3,10,34,0.6,60,17,0.218639253,1.063289073,19.51292319,43.30418969,34.6788514,180.44,9110000,,,,
28,海南,2015,4,Hainan,25.64,71.88,79.56,1,28,3,13,37,0.7,71,19,56.41219141,28.31541533,18.93610963,14.67906695,21.00865225,216,9110000,,,,
29,海南,2015,5,Hainan,29.32,71.41,79.67,0,29,3,12,29,0.6,58,14,0.177498228,28.29484482,34.30556104,25.78383059,37.83850048,283.92,9110000,,,,
30,海南,2015,6,Hainan,29.52,138.6,78.56,0,30,3,12,25,0.5,52,10,46.32699347,23.25224585,44.18722392,47.24346579,39.01983162,281.32,9110000,,,,
31,海南,2015,7,Hainan,28.14,184.1,81.56,1,31,5,15,30,0.6,66,14,86.05718005,66.19208676,46.16982282,34.67174167,27.81202505,179.12,9110000,,,,
32,海南,2015,8,Hainan,28.79,75.18,81,1,32,4,14,28,0.6,65,13,6.125294944,46.0912375,30.85187785,34.72065675,36.88275388,271.82,9110000,,,,
33,海南,2015,9,Hainan,28.08,218.73,84,0,33,4,13,28,0.7,68,14,0.373158546,3.249226745,17.34319862,34.52169398,47.71304463,213.84,9110000,,,,
34,海南,2015,10,Hainan,25.92,201.45,82.44,0,34,5,17,47,0.7,103,29,45.53114237,22.95215046,48.79424938,38.12701077,31.19266162,191.34,9110000,,,,
35,海南,2015,11,Hainan,25.63,101.5,83.44,1,35,4,9,31,0.6,73,14,100.4784472,73.0047948,49.8216182,37.45950329,30.06875962,191.44,9110000,,,,
36,海南,2015,12,Hainan,21.94,57.97,84.56,2,36,4,15,35,0.8,79,19,3.455265013,51.96685612,34.81316573,37.49265989,40.62177275,102.54,9110000,,,,
37,海南,2016,1,Hainan,20.58,89.3,88.11,0,37,4,18,32,0.8,72,18,0.505784949,1.980524981,19.03309138,39.39443034,31.56990286,NA,9170000,,,,
38,海南,2016,2,Hainan,18.82,14.59,81.56,1,38,5,13,40,0.8,85,25,53.13822418,26.82200457,17.97193401,14.34276676,17.1346337,110.6,9170000,,,,
39,海南,2016,3,Hainan,22.24,22.19,82.33,0,39,4,16,38,0.7,81,20,0.271792903,26.70500854,27.23737285,20.55447587,21.32197173,152.2,9170000,,,,
40,海南,2016,4,Hainan,27.06,56.67,81.11,0,40,4,15,39,0.6,71,20,28.30210146,14.28694718,17.65528317,26.52601843,25.20199518,NA,9170000,,,,
41,海南,2016,5,Hainan,28.54,107.5,81.22,0,41,4,13,29,0.6,70,14,24.39195516,26.34702831,24.19998627,18.21793793,27.54150025,NA,9170000,,,,
42,海南,2016,6,Hainan,29.22,156.3,81.89,0,42,4,14,24,0.6,62,9,19.90590219,22.14892867,36.37786897,34.35892709,36.1843671,252,9170000,,,,
43,海南,2016,7,Hainan,28.97,152.58,81.67,0,43,3,12,26,0.5,51,10,64.83574956,42.37082587,42.74259296,38.15493351,30.56563947,267,9170000,,,,
44,海南,2016,8,Hainan,28.27,194.93,85.78,1,44,3,15,28,0.5,56,12,43.48612714,54.16093835,36.17678001,32.10906055,36.14728368,188,9170000,,,,
45,海南,2016,9,Hainan,27.71,226.4,86.11,0,45,5,14,31,0.6,67,15,0.208463326,21.84729523,31.99825555,40.20762905,47.75366742,152.22,9170000,,,,
46,海南,2016,10,Hainan,26.39,16.78,86.39,0,46,4,12,33,0.6,74,18,52.3001762,26.25431976,43.48215347,43.48314689,39.10548879,153,9170000,,,,
47,海南,2016,11,Hainan,24.21,139.84,86,2,47,3,11,30,0.6,70,14,77.93782089,65.11899854,50.61095116,38.0103292,31.54860012,112.16,9170000,,,,
48,海南,2016,12,Hainan,22.12,55,82.22,2,48,5,12,49,0.7,100,27,21.59485641,49.76633865,35.07812035,39.38363431,31.69698389,97.6,9170000,,,,
49,海南,2017,1,Hainan,20.4,53.28,86.85,1,49,4,11,38,0.6,89,22,5.701683763,13.64827009,9.415640794,26.54618582,43.94607029,96.18,9260000,,,,
50,海南,2017,2,Hainan,19.08,29.82,84.72,0,50,4,11,34,0.6,87,22,0.95038221,3.326032987,40.06589139,35.44813264,31.29001646,105.58,9260000,,,,
51,海南,2017,3,Hainan,23.38,80.78,83.62,2,51,4,13,42,0.6,78,22,113.5456082,57.2479952,43.05118071,33.71380647,33.52919588,124.52,9260000,,,,
52,海南,2017,4,Hainan,25.44,102.04,80.37,4,52,4,12,35,0.6,84,18,14.65755171,64.10157995,53.66463781,40.48607391,33.40117434,193.72,9260000,,,,
53,海南,2017,5,Hainan,27.34,282.08,82.93,2,53,4,11,27,0.6,76,13,32.79075352,23.72415262,17.50329377,41.51387238,33.3179391,196.28,9260000,,,,
54,海南,2017,6,Hainan,29.42,128.4,78.34,2,54,4,12,25,0.5,60,11,5.06157607,18.9261648,12.79551186,13.26102182,22.068117,250.48,9260000,,,,
55,海南,2017,7,Hainan,27.96,334.02,84.22,0,55,4,12,20,0.5,50,9,0.534205983,2.797891027,20.96409326,23.92075832,19.16767595,199.98,9260000,,,,
56,海南,2017,8,Hainan,28.82,152.44,80.34,1,56,4,12,23,0.6,53,10,57.29649772,28.91535185,19.32868338,15.76190656,23.11675224,237.44,9260000,,,,
57,海南,2017,9,Hainan,28.32,206.76,81.78,0,57,4,12,26,0.6,52,12,0.155346456,28.72592209,36.66265972,27.63054629,36.9640722,222.14,9260000,,,,
58,海南,2017,10,Hainan,25.22,329.04,81.62,0,58,6,12,38,0.6,94,23,52.536135,26.34574073,42.32988576,46.07153875,42.00284366,156.38,9260000,,,,
59,海南,2017,11,Hainan,22.36,220.1,86.9,3,59,4,13,38,0.7,86,22,74.29817583,63.41715542,50.8541247,38.17943014,32.08507226,81.08,9260000,,,,
60,海南,2017,12,Hainan,19.14,24.82,80.3,2,60,6,13,48,0.6,99,29,25.72806328,50.01311956,35.91129329,40.06750372,32.08390464,89.5,9260000,,,,
61,海南,2018,1,Hainan,18.68,36.96,86.24,7,61,4,14,36,0.6,70,19,7.707640755,16.71785202,11.1950708,26.97084706,46.29078636,91.78,9340000,,,,
62,海南,2018,2,Hainan,18.24,8.02,79.2,0,62,5,13,46,0.6,78,30,0.149508352,3.928574554,43.80923089,39.28893899,35.63972359,123.08,9340000,,,,
63,海南,2018,3,Hainan,22.6,38.54,78.1,2,63,4,12,36,0.6,74,18,123.5705436,61.86002596,48.25430464,38.11763867,34.86199195,228.7,9340000,,,,
64,海南,2018,4,Hainan,24.51,155.7,80.56,8,64,4,11,36,0.6,64,18,21.04286199,72.30670278,55.48427021,41.65057975,37.66820324,181.04,9340000,,,,
65,海南,2018,5,Hainan,28.5,107.26,77.14,6,65,4,12,24,0.5,60,12,21.83940506,21.44113353,21.54032143,47.04787697,39.41619864,286.54,9340000,,,,
66,海南,2018,6,Hainan,28.3,381.58,81.2,2,66,4,14,26,0.6,66,12,21.73869724,21.78905115,17.48919587,18.3776124,14.77087612,183.14,9340000,,,,
67,海南,2018,7,Hainan,27.82,362.62,83.48,1,67,4,12,22,0.6,53,9,8.889485305,15.31409127,10.32403786,13.20287966,21.21555991,173.88,9340000,,,,
68,海南,2018,8,Hainan,27.4,570.3,85.58,0,68,4,14,26,0.6,64,11,0.343931019,4.616708162,20.83323242,21.05959863,32.40574193,157.56,9340000,,,,
69,海南,2018,9,Hainan,27.32,122.38,83.32,0,69,5,12,30,0.6,78,16,53.26628094,26.80510598,43.8001757,35.0725031,30.84115779,196.58,9340000,,,,
70,海南,2018,10,Hainan,25.64,146.68,78.6,2,70,5,12,44,0.7,118,24,77.79031515,65.52829804,48.3241242,36.32907591,34.81968752,222.96,9340000,,,,
71,海南,2018,11,Hainan,24.04,41.44,82.66,1,71,4,12,34,0.6,86,18,13.91577652,45.85304584,40.16274189,43.43862665,40.52243165,144.54,9340000,,,,
72,海南,2018,12,Hainan,20.74,68.86,87.76,1,72,6,12,32,0.7,69,17,28.782134,21.34895526,23.85185406,37.33646933,34.99213995,99.68,9340000,,,,
73,海南,2019,1,Hainan,19.4,17.9,87,1,73,6,14,43,0.75,81,25,28.85765165,28.81989283,27.75153602,24.29259615,25.61828013,93.5,9450000,,,,
74,海南,2019,2,Hainan,23.4,21.1,84,2,74,5,9,27,0.48,55,14,25.61482242,27.23623704,28.46449672,28.54390604,24.36268021,157.9,9450000,,,,
75,海南,2019,3,Hainan,24.3,9.6,83,1,75,5,12,33,0.55,59,16,30.92101608,28.26791925,21.39120513,23.25781676,18.70689775,147.8,9450000,,,,
76,海南,2019,4,Hainan,28.1,39.7,77,2,76,4,13,28,0.47,72,14,7.637776902,19.27939649,13.02067156,16.16920928,39.27884365,214.5,9450000,,,,
77,海南,2019,5,Hainan,27.9,385,83,0,77,5,16,27,0.54,84,13,0.503221717,4.070499309,46.61945992,42.69484896,34.47352811,163.3,9450000,,,,
78,海南,2019,6,Hainan,30,198.6,77,2,78,5,14,23,0.48,71,10,131.7173811,66.11030143,44.60294919,35.36165612,28.37551759,209.7,9450000,,,,
79,海南,2019,7,Hainan,29.7,172.8,77,2,79,4,12,23,0.49,70,11,1.5882447,66.65281292,44.57886311,33.55995276,35.73126901,221.7,9450000,,,,
80,海南,2019,8,Hainan,26.4,523,83,0,80,5,15,23,0.57,61,11,0.430963489,1.009604094,15.47858072,44.53828083,35.77426844,170.8,9450000,,,,
81,海南,2019,9,Hainan,27.4,263.8,80,1,81,5,15,36,0.65,109,20,44.41653397,22.42374873,15.18857212,11.78849026,34.63927408,183.8,9450000,,,,
82,海南,2019,10,Hainan,26.6,144.8,77,0,82,5,9,36,0.65,106,21,0.718218885,22.56737643,57.05905408,42.90203143,34.76500042,175.6,9450000,,,,
83,海南,2019,11,Hainan,23.7,12.3,76,1,83,5,12,46,0.63,132,26,126.0424094,63.38031413,42.99250155,43.34850965,34.85636097,154,9450000,,,,
84,海南,2019,12,Hainan,20.6,10.1,76,1,84,6,13,39,0.7,110,22,2.216876375,64.12964288,43.04901732,32.46631771,36.17525899,125,9450000,,,,
85,海南,2020,1,Hainan,20.4,33.2,83,0,85,3,9,29,0.68,89,15,0.887766222,1.552321299,18.03855556,45.03951902,36.09423339,128.4,10120000,,,,
86,海南,2020,2,Hainan,20.8,11.9,83,1,86,3,5,29,0.52,84,14,51.01102409,25.94939516,17.4039604,13.60718939,15.66813333,91.4,10120000,,,,
87,海南,2020,3,Hainan,24.8,16.8,81,0,87,3,10,27,0.57,70,13,0.313090878,25.66205748,25.07867468,19.03094757,26.20165627,142.5,10120000,,,,
88,海南,2020,4,Hainan,24,82.6,82,0,88,4,10,31,0.64,89,15,23.91190908,12.11249998,26.36983034,32.53012878,45.88870171,113,10120000,,,,
89,海南,2020,5,Hainan,29.6,42.7,75,0,89,4,13,29,0.56,87,13,54.88449107,39.39820007,59.37313119,44.60812111,36.25256228,255.1,10120000,,,,
90,海南,2020,6,Hainan,30,105.6,76,3,90,3,10,20,0.44,60,8,99.32299341,77.10374224,52.34593716,45.23743014,36.27534624,220.3,10120000,,,,
91,海南,2020,7,Hainan,30,131.2,74,1,91,4,11,20,0.39,59,8,2.830326984,51.0766602,34.19344368,39.36620553,35.76850784,261.7,10120000,,,,
92,海南,2020,8,Hainan,28.4,214.5,83,0,92,3,13,20,0.46,49,9,0.42701065,1.628668817,8.211684901,30.98951203,35.03386008,177.3,10120000,,,,
93,海南,2020,9,Hainan,28.4,118.2,82,0,93,4,13,19,0.49,51,9,21.37771707,10.90236386,24.33866,18.96157674,32.65015426,158.9,10120000,,,,
94,海南,2020,10,Hainan,25.3,419.9,81,0,94,5,8,34,0.53,105,17,51.21125227,36.29448467,53.33114455,40.10511107,32.08408886,55.5,10120000,,,,
95,海南,2020,11,Hainan,23.4,28.1,79,1,95,6,12,43,0.5,116,22,87.40446431,69.30785829,46.20523886,39.99835841,39.99835841,82.8,10120000,,,,
96,海南,2020,12,Hainan,18.6,14.2,80,0,96,7,15,46,0.68,98,30,0,43.70223215,43.70223215,46.20523886,46.20523886,55.3,10120000,,,,
97,廣東,2013,1,Guangdong,13.63,6.84,71.86,176,1,28,63,106,1.5,49,78,3.987050507,3.987050507,15.39875877,15.39875877,22.64849786,123.91,106440000,,,,
98,廣東,2013,2,Guangdong,17.27,14.55,78.78,56,2,15,35,57,1.2,71,42,26.81046704,15.39875877,22.64849786,22.64849786,24.44048568,79.63,106440000,,,,
99,廣東,2013,3,Guangdong,19.55,156.45,79.03,141,3,22,46,73,1.2,84,47,37.14797602,31.97922153,31.25829741,24.44048568,24.75888271,115.9,106440000,,,,
100,廣東,2013,4,Guangdong,20.81,230.19,85.31,190,4,21,47,77,1.1,80,50,29.81644917,33.48221259,30.99896533,29.95184075,28.92166246,57.1,106440000,,,,
101,廣東,2013,5,Guangdong,25.28,196.36,86,171,5,18,34,49,0.9,79,29,26.03247079,27.92445998,26.88328975,29.44946131,28.97953321,103.48,106440000,,,,
102,廣東,2013,6,Guangdong,27.67,191.72,81.97,93,6,15,24,41,0.8,83,21,24.80094928,25.41671003,25.97774695,26.9374225,26.56970637,181.25,106440000,,,,
103,廣東,2013,7,Guangdong,27.72,189.34,82,81,7,15,24,36,0.8,73,19,27.09982078,25.95038503,25.6665373,25.75802067,26.82758721,194.71,106440000,,,,
104,廣東,2013,8,Guangdong,27.9,222.13,83.06,48,8,17,29,49,0.9,89,27,25.09884183,26.09933131,27.768172,27.02636632,28.0850558,177.88,106440000,,,,
105,廣東,2013,9,Guangdong,26.79,158.92,78.86,49,9,20,32,62,0.9,116,38,31.10585339,28.10234761,29.50816965,28.90608243,30.05787032,177.3,106440000,,,,
106,廣東,2013,10,Guangdong,23.69,7,65.92,69,10,27,40,108,1,155,71,32.31981373,31.71283356,32.69689634,30.79738271,32.21536877,217.67,106440000,,,,
107,廣東,2013,11,Guangdong,19.57,63.78,71.03,106,11,23,48,90,1.1,84,55,34.66502189,33.49241781,34.95738288,33.99450051,32.23261283,138.42,106440000,,,,
108,廣東,2013,12,Guangdong,12.65,131.27,63.61,254,12,36,57,117,1.4,63,85,37.88731303,36.27616746,32.57913234,32.51430269,30.74341381,181.39,106440000,,,,
109,廣東,2014,1,Guangdong,13.7,0.9,66.33,334,13,27,48,108,1.5,101,79,25.18506211,31.53618757,28.91074448,30.34931383,31.71750806,195.78,107240000,,,,
110,廣東,2014,2,Guangdong,13.42,42.01,78.56,108,14,16,29,56,1.3,71,41,23.6598583,24.42246021,28.67840179,30.9806296,30.49362702,82.6,107240000,,,,
111,廣東,2014,3,Guangdong,17.58,158.25,81.72,247,15,21,35,68,1.3,70,46,37.19028497,30.42507163,29.79858665,28.64520551,28.73236412,64.17,107240000,,,,
112,廣東,2014,4,Guangdong,22.7,130.46,82.11,247,16,19,29,61,1.3,90,41,28.54561667,32.86795082,31.60563339,29.61918962,28.464151,88.12,107240000,,,,
113,廣東,2014,5,Guangdong,25.24,166.52,87.22,287,17,15,25,43,1,71,26,29.08099855,28.81330761,27.15687058,29.66522418,28.9624535,109.56,107240000,,,,
114,廣東,2014,6,Guangdong,28.26,203.19,81.97,161,18,14,21,45,0.9,89,26,23.84399653,26.46249754,26.35878862,26.90549563,26.88989061,167.9,107240000,,,,
115,廣東,2014,7,Guangdong,29.26,162.09,78.5,107,19,14,19,43,0.9,93,25,26.15137078,24.99768365,25.60761262,26.4759591,27.41900799,248.79,107240000,,,,
116,廣東,2014,8,Guangdong,28.36,172.82,80.89,74,20,15,19,38,0.9,88,22,26.82747055,26.48942066,28.05668163,27.00351035,28.21657514,223.07,107240000,,,,
117,廣東,2014,9,Guangdong,28.06,112.5,77.92,75,21,16,20,48,1,104,30,31.19120355,29.00933705,30.36250281,29.3097198,29.94066746,224.38,107240000,,,,
118,廣東,2014,10,Guangdong,24.69,19.14,68.67,109,22,21,28,82,1.1,140,55,33.06883431,32.13001893,32.24149865,30.88799163,32.34465176,224.44,107240000,,,,
119,廣東,2014,11,Guangdong,20.56,43.13,77.78,150,23,20,31,68,1.2,91,46,32.46445809,32.7666462,34.5681949,33.72394707,32.95070402,131.98,107240000,,,,
120,廣東,2014,12,Guangdong,13.39,48.27,66.94,269,24,23,38,75,1.2,74,49,38.1712923,35.3178752,33.49782742,33.39057914,31.03063125,127.01,107240000,,,,
121,廣東,2015,1,Guangdong,14.13,63.17,72.75,582,25,20,42,82,1.2,88,55,29.85773186,34.01451208,29.87328795,30.52108049,31.72173514,170.76,108490000,,,,
122,廣東,2015,2,Guangdong,16.54,25.4,76.47,193,26,13,30,74,1.1,84,52,21.59083968,25.72428577,29.32430844,31.5360544,31.45794273,96.66,108490000,,,,
123,廣東,2015,3,Guangdong,18.75,35.98,84.33,280,27,12,29,50,1,64,33,36.52435377,29.05759672,29.75356316,29.77960534,28.91246301,61.61,108490000,,,,
124,廣東,2015,4,Guangdong,22.39,88.82,77.31,430,28,13,26,52,0.9,94,32,31.14549604,33.8349249,31.03791449,28.67614579,27.81218243,155.67,108490000,,,,
125,廣東,2015,5,Guangdong,26.22,169.15,87.19,325,29,10,21,36,0.9,72,21,25.44389368,28.29469486,26.98190624,29.36751812,28.69871346,116.82,108490000,,,,
126,廣東,2015,6,Guangdong,28.87,154.13,81.19,173,30,10,16,31,0.7,70,16,24.35632899,24.90011134,25.27457249,26.74230338,27.05992221,228.74,108490000,,,,
127,廣東,2015,7,Guangdong,28.29,219.78,80.53,109,31,10,17,39,0.8,86,23,26.0234948,25.1899119,26.23674045,26.03852876,27.12010216,181.69,108490000,,,,
128,廣東,2015,8,Guangdong,28.47,173.9,79.5,81,32,13,21,47,0.9,101,28,28.33039756,27.17694618,28.60009605,27.53915429,28.51049685,212.22,108490000,,,,
129,廣東,2015,9,Guangdong,27.23,149.39,80.94,91,33,11,20,50,0.9,108,32,31.44639579,29.88839668,30.72422015,29.54903881,30.34958065,175.98,108490000,,,,
130,廣東,2015,10,Guangdong,24.3,113.29,76.64,112,34,15,27,65,0.9,109,42,32.39586709,31.92113144,32.46467029,31.43110211,32.01594296,175.4,108490000,,,,
131,廣東,2015,11,Guangdong,21.54,47.87,79.14,167,35,14,28,56,1,82,35,33.55174799,32.97380754,33.43430714,32.9373293,31.4870319,140.76,108490000,,,,
132,廣東,2015,12,Guangdong,15.33,146.35,79.64,245,36,13,30,51,1.1,54,33,34.35530635,33.95352717,31.1976322,31.49719092,29.94557618,81.4,108490000,,,,
133,廣東,2016,1,Guangdong,13.44,226.61,82.86,290,37,11,32,48,1.1,53,32,25.68584227,30.02057431,27.92675528,29.33300346,31.43913408,NA,109990000,,,,
134,廣東,2016,2,Guangdong,12.94,45.54,75.39,90,38,9,23,50,0.9,69,34,23.73911722,24.71247974,29.76287202,30.9109806,30.61398269,93.5,109990000,,,,
135,廣東,2016,3,Guangdong,16.64,179.72,83.75,215,39,12,37,60,1,75,40,39.86365658,31.8013869,31.00958828,29.67865178,29.5932684,72.9,109990000,,,,
136,廣東,2016,4,Guangdong,23.44,208.25,87.56,266,40,11,28,48,0.9,72,32,29.42599105,34.64482381,32.84712751,30.57012494,30.23774427,50.66,109990000,,,,
137,廣東,2016,5,Guangdong,26.06,196.68,83.39,246,41,10,21,44,0.8,94,27,29.25173491,29.33886298,29.19531585,31.86240103,30.69111557,142.74,109990000,,,,
138,廣東,2016,6,Guangdong,28.51,251.47,83.69,220,42,10,20,33,0.8,81,18,28.90822159,29.07997825,28.05531008,28.39798032,28.17921296,188.07,109990000,,,,
139,廣東,2016,7,Guangdong,29.13,168.39,80.69,169,43,11,19,39,0.7,90,21,26.00597374,27.45709767,27.40611295,27.86751844,28.76958844,224.16,109990000,,,,
140,廣東,2016,8,Guangdong,28.02,298.87,85.39,97,44,11,22,44,0.8,103,27,27.30414353,26.65505864,28.5626619,28.64905182,29.08113866,138.92,109990000,,,,
141,廣東,2016,9,Guangdong,27.19,146.11,80.75,126,45,11,23,48,0.9,105,30,32.37786843,29.84100598,30.16383266,29.12436793,31.03153599,135.06,109990000,,,,
142,廣東,2016,10,Guangdong,25.34,5.69,81.64,123,46,11,22,45,0.9,85,28,30.80948602,31.59367723,33.94918756,32.28792655,33.04494672,130.77,109990000,,,,
143,廣東,2016,11,Guangdong,19.59,119.19,82.03,228,47,12,33,58,1,81,37,38.66020822,34.73484712,35.18090721,34.48014751,32.62069245,110.35,109990000,,,,
144,廣東,2016,12,Guangdong,16.92,13.03,72.42,529,48,14,43,76,1.1,92,50,36.07302738,37.3666178,33.30536927,32.68139846,32.06767123,157.73,109990000,,,,
145,廣東,2017,1,Guangdong,16.17,20.41,79.77,472,49,10,34,68,1.1,87,49,25.18287222,30.6279498,30.28955397,32.38221754,34.09427598,121.18,111690000,,,,
146,廣東,2017,2,Guangdong,15.34,37.47,75.22,254,50,11,30,57,0.9,95,40,29.61276232,27.39781727,31.91271477,32.95279292,32.4533976,113.82,111690000,,,,
147,廣東,2017,3,Guangdong,18.1,117.59,83.9,755,51,11,38,63,1,75,37,40.94250977,35.27763605,33.6703628,31.54849016,31.23109093,58.2,111690000,,,,
148,廣東,2017,4,Guangdong,22.14,125.98,81.62,981,52,11,31,55,0.9,94,33,30.45581631,35.69916304,33.7866067,32.74314561,31.38673634,120.62,111690000,,,,
149,廣東,2017,5,Guangdong,25.43,200.92,82.69,1000,53,11,27,51,0.8,114,31,29.96149403,30.20865517,28.79280321,31.83022985,30.251636,131.24,111690000,,,,
150,廣東,2017,6,Guangdong,28.05,350.35,86.05,735,54,9,19,32,0.7,69,17,25.9610993,27.96129666,26.61995131,27.57891756,27.13422479,156.21,111690000,,,,
151,廣東,2017,7,Guangdong,28.19,310.46,84.75,364,55,10,22,34,0.8,78,19,23.93726061,24.94917996,25.08460455,26.30382692,26.63149792,187.5,111690000,,,,
152,廣東,2017,8,Guangdong,28.94,205.8,81.79,198,56,10,21,38,0.7,93,21,25.35545373,24.64635717,25.74496542,25.79899889,27.81067271,220.23,111690000,,,,
153,廣東,2017,9,Guangdong,28.38,142.28,81.75,132,57,12,26,48,0.8,112,29,27.94218193,26.64881783,29.71833455,28.27306607,30.75961553,202.94,111690000,,,,
154,廣東,2017,10,Guangdong,24.31,108.69,74.01,162,58,12,26,53,0.9,112,33,35.857368,31.89977497,34.83512111,32.46520426,33.69155455,197.78,111690000,,,,
155,廣東,2017,11,Guangdong,19.83,52.08,78.88,438,59,13,33,61,0.9,83,40,40.7058134,38.2815907,38.38671236,35.77557975,33.58469205,82.6,111690000,,,,
156,廣東,2017,12,Guangdong,15.33,4.08,64.96,1015,60,17,42,77,1,97,52,38.59695568,39.65138454,34.7079701,34.99531958,31.89471757,156.23,111690000,,,,
157,廣東,2018,1,Guangdong,13.91,109.19,76.99,1295,61,13,43,68,1,80,48,24.82114123,31.70904845,27.63680215,30.90405496,33.02113688,103.05,113460000,,,,
158,廣東,2018,2,Guangdong,14.45,17.62,71.12,241,62,10,26,60,0.8,89,44,19.49230954,22.15672539,28.60097178,31.09996776,31.47624634,100.48,113460000,,,,
